Time, PC 1, PC 2, NPJ regime
2006-01-01T00:00:00.000000000,1.678719880079552,0.20219685388707817,extension
2006-01-02T00:00:00.000000000,1.134732784477957,0.013359285324061363,extension
2006-01-03T00:00:00.000000000,0.35592746684372645,-0.24182925909367012,origin
2006-01-04T00:00:00.000000000,-0.11189720768867595,-0.024595677108301482,origin
2006-01-05T00:00:00.000000000,-0.40278353986337595,0.3780834754594742,origin
2006-01-06T00:00:00.000000000,-0.46630579907386316,1.3947598308410625,poleward shift
2006-01-07T00:00:00.000000000,-0.5787471024648274,1.8782937753292925,poleward shift
2006-01-08T00:00:00.000000000,-0.5754021920255539,2.267771988921795,poleward shift
2006-01-09T00:00:00.000000000,-0.3862247172484861,2.489961411976126,poleward shift
2006-01-10T00:00:00.000000000,0.10257142572432468,2.1135191876704216,poleward shift
2006-01-11T00:00:00.000000000,0.1862813744493227,1.7668080290793386,poleward shift
2006-01-12T00:00:00.000000000,-0.03692173371024374,1.3574357985083918,poleward shift
2006-01-13T00:00:00.000000000,-0.3104561885923396,1.2942599150253196,poleward shift
2006-01-14T00:00:00.000000000,-0.17616825291794785,0.6795693547551162,origin
2006-01-15T00:00:00.000000000,-0.4953102947760117,0.3030632286497027,origin
2006-01-16T00:00:00.000000000,-0.6174930138561637,0.10217989627674773,origin
2006-01-17T00:00:00.000000000,-0.6072792501495828,0.34642530823457046,origin
2006-01-18T00:00:00.000000000,-0.6175710085821754,0.48335488655533015,origin
2006-01-19T00:00:00.000000000,-0.30326359584937373,0.24544560796063314,origin
2006-01-20T00:00:00.000000000,-0.4829874457927674,0.40652027187338763,origin
2006-01-21T00:00:00.000000000,-1.10100732425988,0.7513379497121142,retraction
2006-01-22T00:00:00.000000000,-1.8379447083044698,0.9869549163815922,retraction
2006-01-23T00:00:00.000000000,-1.5110226558299147,1.2411788213751767,retraction
2006-01-24T00:00:00.000000000,-0.6469639564849221,1.3523720731268982,poleward shift
2006-01-25T00:00:00.000000000,-0.27852253359832174,1.4937696276087529,poleward shift
2006-01-26T00:00:00.000000000,-0.22403134829373014,1.5760379472865094,poleward shift
2006-01-27T00:00:00.000000000,-0.20515993598071336,1.722535401869975,poleward shift
2006-01-28T00:00:00.000000000,0.3392349877065054,1.890450827243609,poleward shift
2006-01-29T00:00:00.000000000,0.7807087299437043,1.8082126360571853,poleward shift
2006-01-30T00:00:00.000000000,0.5901368278410097,1.6355556474126012,poleward shift
2006-01-31T00:00:00.000000000,0.7198275384735003,1.7415937090122826,poleward shift
2006-02-01T00:00:00.000000000,0.8197666627486173,1.2782039436391888,poleward shift
2006-02-02T00:00:00.000000000,0.24419814775890278,1.240651968006677,poleward shift
2006-02-03T00:00:00.000000000,0.19812084556679097,1.2201982369888398,poleward shift
2006-02-04T00:00:00.000000000,0.2604514207245634,1.2484970149387327,poleward shift
2006-02-05T00:00:00.000000000,0.42704949409528237,2.0189351842020247,poleward shift
2006-02-06T00:00:00.000000000,0.9038401177833043,1.9142703934587697,poleward shift
2006-02-07T00:00:00.000000000,0.8109764498008366,1.4855273315789628,poleward shift
2006-02-08T00:00:00.000000000,0.09106484574397755,1.3322030263119722,poleward shift
2006-02-09T00:00:00.000000000,0.11997269242492627,1.2747372614354833,poleward shift
2006-02-10T00:00:00.000000000,0.7492682569450873,0.945106762839614,poleward shift
2006-02-11T00:00:00.000000000,0.9806312053354651,0.6415867751358127,extension
2006-02-12T00:00:00.000000000,0.32033269565792233,1.0772292849784522,poleward shift
